id,correct
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,1
8,1
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,0
303,1
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,0
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,0
378,0
379,1
380,0
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,0
410,1
411,1
412,1
413,0
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,0
502,1
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,1
651,1
652,0
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,1
674,1
675,0
676,1
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,0
690,1
691,0
692,1
693,0
694,0
695,0
696,0
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,0
711,1
712,0
713,1
714,1
715,0
716,1
717,0
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,1
738,1
739,1
740,1
741,1
742,1
743,0
744,0
745,1
746,0
747,1
748,0
749,0
750,1
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,0
787,0
788,1
789,0
790,1
791,1
792,1
793,0
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,1
812,1
813,1
814,0
815,0
816,1
817,1
818,0
819,1
820,1
821,0
822,1
823,1
824,0
825,1
826,1
827,1
828,1
829,1
830,1
831,0
832,1
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,1
843,1
844,0
845,1
846,1
847,0
848,1
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,1
861,1
862,1
863,1
864,0
865,0
866,1
867,0
868,1
869,1
870,1
871,1
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,1
881,1
882,0
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,0
901,1
902,1
903,0
904,1
905,1
906,0
907,1
908,1
909,0
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,0
921,0
922,0
923,1
924,1
925,0
926,1
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,0
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,0
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,1
959,0
960,1
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,0
973,1
974,1
975,0
976,0
977,1
978,1
979,1
980,1
981,1
982,0
983,0
984,0
985,0
986,0
987,1
988,1
989,1
990,0
991,1
992,0
993,1
994,1
995,1
996,0
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,1
1018,0
1019,0
1020,1
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,0
1064,0
1065,1
1066,0
1067,1
1068,1
1069,0
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,0
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,0
1096,1
1097,1
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,0
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,0
1130,1
1131,1
1132,1
1133,0
1134,1
1135,1
1136,1
1137,0
1138,0
1139,0
1140,1
1141,1
1142,1
1143,0
1144,1
1145,1
1146,1
1147,1
1148,1
1149,0
1150,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,0
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1178,0
1179,1
1180,1
1181,0
1182,0
1183,1
1184,1
1185,1
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,0
1205,1
1206,0
1207,1
1208,1
1209,1
1210,0
1211,1
1212,1
1213,0
1214,1
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,1
1229,1
1230,1
1231,1
1232,1
1233,0
1234,1
1235,0
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,0
1243,1
1244,1
1245,1
1246,1
1247,1
1248,0
1249,1
1250,1
1251,1
1252,1
1253,1
1254,0
1255,0
1256,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,1
1271,0
1272,0
1273,1
1274,1
1275,0
1276,1
1277,1
1278,1
1279,1
1280,0
1281,1
1282,1
1283,1
1284,1
1285,0
1286,0
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,1
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,0
1303,1
1304,1
1305,1
1306,1
1307,0
1308,1
1309,1
1310,1
1311,1
1312,1
1313,0
1314,1
1315,1
1316,1
1317,0
1318,0
1319,1
1320,1
1321,0
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,0
1334,1
1335,0
1336,0
1337,0
1338,1
1339,1
1340,0
1341,0
1342,1
1343,0
1344,1
1345,1
1346,0
1347,1
1348,0
1349,1
1350,1
1351,1
1352,0
1353,1
1354,1
1355,0
1356,0
1357,1
1358,0
1359,0
1360,1
1361,1
1362,1
1363,1
1364,1
1365,1
1366,0
1367,1
1368,1
1369,0
1370,1
1371,1
1372,0
1373,1
1374,1
1375,1
1376,1
1377,1
1378,0
1379,1
1380,1
1381,1
1382,0
1383,1
1384,1
1385,1
1386,1
1387,0
1388,1
1389,1
1390,1
1391,1
1392,0
1393,1
1394,1
1395,1
1396,1
1397,1
1398,0
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
